Date,Open,High,Low,Close,Adj Close,Volume
2023-08-15,63.799999,63.959999,63.040001,63.220001,63.220001,3192300
2023-08-16,63.139999,63.330002,63.040001,63.150002,63.150002,1705500
2023-08-17,63.450001,63.549999,62.759998,62.799999,62.799999,1842400
2023-08-18,62.549999,62.639999,62.310001,62.419998,62.419998,1775200
2023-08-21,62.349998,62.450001,62.009998,62.080002,62.080002,2363700
2023-08-22,62.240002,62.250000,61.459999,61.619999,61.619999,7186400
2023-08-23,61.790001,62.599998,61.660000,62.470001,62.470001,2225500
2023-08-24,62.389999,62.709999,62.360001,62.400002,62.400002,1724000
2023-08-25,62.700001,62.869999,61.689999,62.119999,62.119999,2108500
2023-08-28,62.290001,62.910000,62.290001,62.820000,62.820000,1155700
2023-08-29,62.709999,64.580002,62.680000,64.519997,64.519997,5001500
2023-08-30,64.500000,64.919998,64.269997,64.480003,64.480003,1934200
2023-08-31,64.500000,64.779999,63.880001,64.120003,64.120003,4210700
2023-09-01,64.620003,65.550003,64.589996,65.480003,65.480003,3862100
2023-09-05,65.339996,65.669998,64.410004,64.510002,64.510002,5039300
2023-09-06,64.269997,64.589996,63.959999,64.320000,64.320000,2353800
2023-09-07,64.449997,64.650002,63.660000,63.799999,63.799999,4371100
2023-09-08,63.619999,63.779999,63.270000,63.470001,63.470001,3347400
2023-09-11,63.529999,64.150002,63.209999,63.919998,63.919998,3032400
2023-09-12,63.860001,64.360001,63.759998,64.110001,64.110001,2641900
2023-09-13,64.440002,64.849998,64.250000,64.809998,64.809998,3912100
2023-09-14,65.309998,65.650002,65.059998,65.180000,65.180000,4927500
2023-09-15,65.279999,65.570000,64.919998,65.540001,65.540001,8178300
2023-09-18,65.540001,65.660004,64.949997,65.379997,65.379997,2620700
2023-09-19,65.129997,65.239998,64.769997,64.830002,64.830002,11314900
2023-09-20,64.860001,65.080002,64.709999,64.870003,64.870003,540643
